ID,height(cm),weight(kg)
user_2226,147.5,65.6
user_2227,144.4,79.9
user_2228,159.0,81.8
user_2229,152.3,107.8
user_2230,147.3,87.6
user_2231,144.7,77.3
user_2232,159.2,99.3
user_2233,144.1,82.0
user_2234,150.3,79.1
user_2235,142.4,85.7
user_2236,183.1,76.6
user_2237,148.5,69.6
user_2238,147.6,99.3
user_2239,163.1,103.8
user_2240,167.2,78.6
user_2241,171.5,88.7
user_2242,175.6,86.4
user_2243,158.6,84.7
user_2244,157.1,99.7
user_2245,181.7,83.0
user_2246,155.1,74.2
user_2247,166.2,83.8
user_2248,160.3,72.6
user_2249,171.8,85.7
user_2250,178.6,81.3
user_2251,143.3,69.5
user_2252,177.9,101.2
user_2253,135.4,62.4
user_2254,167.1,95.0
user_2255,149.9,71.0
user_2256,143.4,63.5
user_2257,148.9,82.5
user_2258,167.4,61.9
user_2259,164.0,74.8
user_2260,150.5,84.2
user_2261,154.1,71.1
user_2262,159.6,97.2
user_2263,155.0,67.6
user_2264,145.6,87.5
user_2265,140.0,70.3
user_2266,163.7,76.4
user_2267,141.1,84.5
user_2268,144.0,91.5
user_2269,183.7,60.8
user_2270,158.2,61.1
user_2271,168.2,103.7
user_2272,145.8,102.4
user_2273,150.9,85.0
user_2274,169.5,61.8
user_2275,179.9,73.4
user_2276,175.5,96.2
user_2277,142.2,95.0
user_2278,146.3,103.1
user_2279,141.4,105.4
user_2280,132.8,73.5
user_2281,150.5,94.0
user_2282,160.1,73.6
user_2283,188.0,66.8
user_2284,135.9,90.5
user_2285,161.8,64.5
user_2286,176.5,65.0
user_2287,132.1,102.7
user_2288,133.4,63.2
user_2289,167.5,107.1
user_2290,153.4,97.9
user_2291,137.2,71.9
user_2292,137.9,100.4
user_2293,165.0,94.9
user_2294,157.8,70.0
user_2295,158.3,81.6
user_2296,138.7,88.8
user_2297,175.9,74.0
user_2298,133.5,105.9
user_2299,158.4,101.3
user_2300,142.1,74.2
user_2301,181.7,99.3
user_2302,142.9,108.8
user_2303,143.8,79.3
user_2304,168.0,79.7
user_2305,166.4,64.4
user_2306,141.8,96.3
user_2307,177.6,108.4
user_2308,168.5,101.5
user_2309,170.1,101.2
user_2310,139.1,100.6
user_2311,148.2,89.3
user_2312,132.7,87.6
user_2313,137.0,62.4
user_2314,154.8,78.5
user_2315,156.1,69.5
user_2316,147.0,93.2
user_2317,187.1,108.5
user_2318,148.6,87.8
user_2319,149.0,87.2
user_2320,136.6,65.5
user_2321,133.0,87.2
user_2322,145.9,93.0
user_2323,145.5,101.4
user_2324,162.5,69.1
user_2325,166.1,77.4
user_2326,146.4,65.4
user_2327,132.2,91.7
user_2328,134.1,61.1
user_2329,137.2,95.4
user_2330,150.1,87.5
user_2331,184.2,93.8
user_2332,169.3,92.6
user_2333,139.5,77.3
user_2334,162.0,87.3
user_2335,149.9,89.1
user_2336,162.0,64.0
user_2337,135.1,71.2
user_2338,163.7,97.7
user_2339,147.0,68.6
user_2340,163.3,87.3
user_2341,144.8,65.5
user_2342,164.3,108.6
user_2343,152.3,102.8
user_2344,163.6,91.0
user_2345,150.8,99.5
user_2346,169.7,72.8
user_2347,155.8,76.2
user_2348,167.9,94.2
user_2349,135.8,89.8
user_2350,167.3,94.3
user_2351,134.6,65.8
user_2352,149.3,68.0
user_2353,166.2,60.2
user_2354,155.3,76.3
user_2355,165.2,86.0
user_2356,160.4,105.8
user_2357,140.8,86.0
user_2358,166.1,65.5
user_2359,150.6,86.2
user_2360,157.8,106.3
user_2361,164.4,92.7
user_2362,163.1,72.1
user_2363,134.7,89.2
user_2364,138.9,67.6
user_2365,136.5,63.1
user_2366,148.8,81.9
user_2367,155.4,92.3
user_2368,151.3,83.0
user_2369,142.5,80.9
user_2370,131.4,61.9
user_2371,169.7,66.5
user_2372,151.1,97.1
user_2373,178.2,75.2
user_2374,177.9,71.8
user_2375,153.6,79.4
user_2376,130.2,86.9
user_2377,173.5,69.9
user_2378,138.4,97.5
user_2379,178.4,93.7
user_2380,144.7,87.5
user_2381,186.7,85.8
user_2382,185.7,102.9
user_2383,158.8,64.5
user_2384,189.0,71.5
user_2385,155.9,66.8
user_2386,168.2,94.2
user_2387,150.6,80.3
user_2388,167.1,71.5
user_2389,152.1,107.1
user_2390,155.9,94.1
user_2391,147.1,62.1
user_2392,166.2,64.2
user_2393,130.4,65.6
user_2394,146.0,79.3
user_2395,148.3,69.2
user_2396,141.4,95.6
user_2397,143.7,97.8
user_2398,143.3,99.2
user_2399,154.4,89.7
user_2400,135.5,101.1
user_2401,165.7,90.5
user_2402,177.1,63.5
user_2403,168.6,98.0
user_2404,147.7,81.9
user_2405,148.9,66.4
user_2406,157.1,89.6
user_2407,164.2,101.6
user_2408,135.2,84.8
user_2409,173.2,98.0
user_2410,162.3,73.3
user_2411,173.8,64.3
user_2412,133.2,64.7
user_2413,176.6,106.3
user_2414,149.1,68.6
user_2415,146.4,78.5
user_2416,151.5,103.6
user_2417,159.9,69.8
user_2418,134.8,80.6
user_2419,150.7,63.7
user_2420,149.7,103.1
user_2421,147.9,78.5
user_2422,179.5,82.1
user_2423,141.9,107.6
user_2424,167.4,77.7
user_2425,152.5,61.5
user_2426,155.7,68.9
user_2427,146.4,62.4
user_2428,167.7,65.6
user_2429,159.2,106.9
user_2430,143.5,60.2
user_2431,169.0,106.4
user_2432,136.5,83.4
user_2433,166.6,100.9
user_2434,141.6,93.5
user_2435,167.3,66.3
user_2436,153.4,92.7
user_2437,140.5,87.6
user_2438,165.1,82.0
user_2439,161.1,65.4
user_2440,132.7,76.0
user_2441,165.1,88.2
user_2442,133.6,71.8
user_2443,172.4,73.7
user_2444,134.0,84.5
user_2445,155.8,77.8
user_2446,134.2,103.9
user_2447,156.4,66.2
user_2448,170.9,109.7
user_2449,180.5,105.5
user_2450,163.1,81.1
user_2451,164.8,74.5
user_2452,157.5,82.1
user_2453,154.2,84.0
user_2454,146.2,84.1
user_2455,161.8,96.2
user_2456,177.0,96.7
user_2457,147.2,72.9
user_2458,132.6,63.0
user_2459,174.5,100.9
user_2460,165.0,66.2
user_2461,146.3,104.6
user_2462,153.4,86.3
user_2463,168.8,97.0
user_2464,148.6,65.9
user_2465,163.4,73.4
user_2466,145.9,86.9
user_2467,137.3,105.4
user_2468,163.7,73.6
user_2469,180.0,93.7
user_2470,149.0,91.8
user_2471,177.9,77.5
user_2472,147.6,77.5
user_2473,134.2,103.6
user_2474,141.6,65.3
user_2475,186.5,91.8
user_2476,139.2,106.9
user_2477,171.9,92.5
user_2478,136.8,89.8
user_2479,180.4,62.1
user_2480,166.0,74.0
user_2481,169.3,74.0
user_2482,159.4,108.4
user_2483,185.9,80.4
user_2484,174.4,107.6
user_2485,161.0,86.0
user_2486,172.9,84.4
user_2487,145.2,97.8
user_2488,169.8,94.2
user_2489,167.8,98.0
user_2490,173.8,84.8
user_2491,159.7,91.6
user_2492,158.5,78.3
user_2493,137.0,62.4
user_2494,155.6,95.7
user_2495,146.6,61.1
user_2496,139.2,107.4
user_2497,130.2,98.6
user_2498,175.6,75.3
user_2499,148.2,88.8
user_2500,133.0,75.3
user_2501,169.8,71.2
user_2502,140.5,101.1
user_2503,139.4,91.7
user_2504,169.8,104.3
user_2505,135.0,64.4
user_2506,159.7,92.7
user_2507,140.9,64.3
user_2508,137.7,92.9
user_2509,130.4,97.4
user_2510,137.0,102.2
user_2511,140.0,63.8
user_2512,146.6,105.8
user_2513,156.8,61.9
user_2514,158.8,91.3
user_2515,152.6,87.6
user_2516,152.5,88.0
user_2517,152.4,80.5
user_2518,148.4,68.9
user_2519,151.8,85.6
user_2520,160.7,66.4
user_2521,157.6,101.3
user_2522,148.6,89.4
user_2523,167.8,100.1
user_2524,164.9,99.9
user_2525,160.3,90.0
user_2526,160.9,83.8
user_2527,154.5,93.4
user_2528,150.2,70.4
user_2529,142.8,74.5
user_2530,162.1,107.4
user_2531,139.2,95.5
user_2532,177.9,70.3
user_2533,144.8,82.0
user_2534,155.8,83.2
user_2535,187.6,77.4
user_2536,139.6,65.6
user_2537,130.3,61.4
user_2538,171.5,75.0
user_2539,166.6,62.3
user_2540,159.6,108.1
user_2541,147.8,64.5
user_2542,164.5,79.2
user_2543,152.8,74.4
user_2544,172.7,99.3
user_2545,139.9,88.0
user_2546,147.0,74.5
user_2547,130.9,93.9
user_2548,143.6,81.0
user_2549,184.3,80.0
user_2550,145.3,109.4
user_2551,155.8,66.5
user_2552,172.0,94.5
user_2553,185.9,66.3
user_2554,173.2,101.6
user_2555,143.6,75.2
user_2556,139.2,68.4
user_2557,189.2,85.2
user_2558,138.9,88.1
user_2559,180.4,76.8
user_2560,137.7,61.1
user_2561,174.0,66.3
user_2562,158.5,79.7
user_2563,138.1,77.4
user_2564,140.3,102.2
user_2565,161.6,85.8
user_2566,142.0,92.5
user_2567,169.7,85.5
user_2568,177.3,94.5
user_2569,135.7,71.1
user_2570,137.0,95.0
user_2571,149.9,68.5
user_2572,152.1,71.0
user_2573,160.5,100.4
user_2574,153.7,90.0
user_2575,134.8,93.5
user_2576,133.8,82.3
user_2577,153.8,69.2
user_2578,151.7,90.5
user_2579,132.0,64.9
user_2580,163.3,68.2
user_2581,139.2,60.6
user_2582,149.9,60.4
user_2583,136.7,76.2
user_2584,169.8,99.8
user_2585,166.3,66.2
user_2586,162.0,91.5
user_2587,138.7,91.1
user_2588,137.5,94.2
user_2589,147.8,77.6
user_2590,131.9,63.3
user_2591,178.3,89.0
user_2592,136.6,88.9
user_2593,178.9,85.7
user_2594,163.0,73.8
user_2595,133.5,74.2
user_2596,177.5,81.3
user_2597,189.7,73.5
user_2598,175.1,77.4
user_2599,138.2,73.9
user_2600,150.9,85.6
user_2601,134.2,93.6
user_2602,137.3,107.1
user_2603,158.4,87.1
user_2604,153.6,93.0
user_2605,159.3,85.9
user_2606,161.5,98.4
user_2607,143.5,79.1
user_2608,160.2,61.7
user_2609,152.2,75.6
user_2610,172.5,96.9
user_2611,134.3,61.7
user_2612,158.4,62.6
user_2613,134.3,75.2
user_2614,157.1,84.8
user_2615,165.3,86.6
user_2616,170.7,72.4
user_2617,178.1,94.6
user_2618,151.5,88.4
user_2619,157.2,96.8
user_2620,141.7,105.2
user_2621,145.0,108.3
user_2622,146.8,62.3
user_2623,150.6,95.1
user_2624,143.2,95.5
user_2625,147.5,94.6
user_2626,163.3,94.1
user_2627,153.8,65.8
user_2628,161.4,101.8
user_2629,169.5,64.0
user_2630,167.6,87.1
user_2631,151.4,71.0
user_2632,149.4,89.0
user_2633,171.7,87.8
user_2634,130.8,64.5
user_2635,163.6,94.0
user_2636,160.9,72.8
user_2637,141.1,64.1
user_2638,139.3,77.9
user_2639,175.7,80.6
user_2640,159.3,98.4
user_2641,180.1,83.6
user_2642,148.1,71.7
user_2643,159.4,68.6
user_2644,151.4,96.9
user_2645,165.7,62.7
user_2646,141.1,71.4
user_2647,146.3,107.7
user_2648,143.4,86.1
user_2649,151.8,83.6
user_2650,176.3,84.6
user_2651,134.4,77.6
user_2652,152.0,87.0
user_2653,141.4,87.8
user_2654,148.6,102.1
user_2655,138.6,86.8
user_2656,162.5,84.7
user_2657,174.5,81.2
user_2658,160.1,60.2
user_2659,163.0,79.7
user_2660,177.0,86.1
user_2661,140.4,73.0
user_2662,151.3,99.4
user_2663,179.6,84.0
user_2664,138.2,76.2
user_2665,147.1,77.1
user_2666,152.5,79.1
user_2667,171.6,98.0
user_2668,155.5,68.7
user_2669,131.2,106.8
user_2670,174.6,65.9
user_2671,132.0,84.1
user_2672,147.6,108.2
user_2673,146.4,92.6
user_2674,133.3,80.9
user_2675,145.5,102.8
user_2676,135.9,60.5
user_2677,157.1,70.8
user_2678,176.2,90.1
user_2679,190.0,96.0
user_2680,160.3,76.2
user_2681,140.3,77.5
user_2682,181.6,81.5
user_2683,157.9,64.1
user_2684,174.2,69.0
user_2685,175.5,92.5
user_2686,166.3,70.7
user_2687,132.5,103.0
user_2688,155.7,108.5
user_2689,185.4,89.2
user_2690,162.0,75.6
user_2691,145.2,102.6
user_2692,157.2,102.1
user_2693,135.6,90.7
user_2694,142.3,84.8
user_2695,145.3,91.8
user_2696,163.6,68.0
user_2697,144.5,70.6
user_2698,131.3,92.0
user_2699,174.3,64.3
user_2700,166.2,98.2
user_2701,157.5,89.7
user_2702,165.9,72.8
user_2703,157.8,82.1
user_2704,153.8,102.5
user_2705,166.3,80.4
user_2706,133.7,64.8
user_2707,162.8,105.9
user_2708,185.1,85.1
user_2709,130.4,103.0
user_2710,137.1,82.4
user_2711,146.0,106.4
user_2712,182.9,97.1
user_2713,175.8,93.2
user_2714,184.3,95.9
user_2715,150.7,82.8
user_2716,142.6,107.0
user_2717,148.5,67.3
user_2718,166.1,88.8
user_2719,154.9,99.8
user_2720,143.4,64.7
user_2721,171.1,76.6
user_2722,155.2,89.0
user_2723,142.4,101.2
user_2724,162.5,80.7
user_2725,146.3,101.8
user_2726,143.0,76.1
user_2727,162.5,93.6
user_2728,158.9,93.0
user_2729,164.8,90.4
user_2730,173.5,84.0
user_2731,153.8,68.7
user_2732,137.7,107.4
user_2733,171.6,84.6
user_2734,163.2,72.0
user_2735,135.4,82.3
user_2736,174.7,77.4
user_2737,171.3,100.2
user_2738,156.5,96.5
user_2739,153.0,80.6
user_2740,174.0,80.2
user_2741,150.7,88.5
user_2742,134.0,65.9
user_2743,147.1,69.3
user_2744,144.1,70.9
user_2745,152.6,95.3
user_2746,155.5,93.5
user_2747,149.1,64.1
user_2748,138.1,84.2
user_2749,171.6,78.9
user_2750,145.3,64.5
user_2751,140.3,91.2
user_2752,159.8,97.0
user_2753,179.6,106.1
user_2754,178.0,108.9
user_2755,135.7,91.0
user_2756,160.6,77.2
user_2757,181.5,79.0
user_2758,142.6,77.8
user_2759,140.1,93.5
user_2760,155.2,69.3
user_2761,135.6,102.6
user_2762,138.2,92.2
user_2763,163.5,101.7
user_2764,160.6,91.3
user_2765,145.7,86.1
user_2766,148.2,87.0
user_2767,173.6,79.6
user_2768,150.5,67.4
user_2769,131.5,91.7
user_2770,173.4,68.7
user_2771,137.6,108.2
user_2772,179.0,105.8
user_2773,141.3,87.1
user_2774,165.5,103.8
user_2775,155.5,62.2
user_2776,157.2,68.8
user_2777,156.5,98.9
user_2778,157.8,73.3
user_2779,162.9,62.1
user_2780,143.2,98.6
user_2781,161.1,103.4
user_2782,183.3,104.1
user_2783,160.1,82.1
user_2784,156.3,96.5
user_2785,135.9,64.5
user_2786,147.8,86.1
user_2787,143.0,63.5
user_2788,152.7,95.9
user_2789,163.0,72.5
user_2790,161.9,67.2
user_2791,165.1,107.5
user_2792,152.0,104.7
user_2793,165.3,65.8
user_2794,180.2,66.2
user_2795,135.7,94.2
user_2796,137.4,62.5
user_2797,139.6,69.1
user_2798,152.1,82.9
user_2799,160.2,101.6
user_2800,176.7,89.4
user_2801,145.3,91.0
user_2802,139.4,98.6
user_2803,150.6,72.2
user_2804,135.3,67.5
user_2805,157.7,80.7
user_2806,171.9,77.1
user_2807,169.4,95.7
user_2808,179.8,92.2
user_2809,168.2,101.4
user_2810,150.8,72.1
user_2811,156.2,63.7
user_2812,165.0,86.7
user_2813,165.2,107.7
user_2814,159.6,71.5
user_2815,183.0,78.0
user_2816,157.2,100.9
user_2817,167.6,91.6
user_2818,167.7,85.3
user_2819,163.3,62.0
user_2820,141.7,65.5
user_2821,133.5,94.2
user_2822,141.0,67.5
user_2823,143.1,62.6
user_2824,152.0,90.5
user_2825,148.2,94.5
user_2826,132.0,69.6
user_2827,149.4,67.0
user_2828,154.7,72.3
user_2829,156.8,84.8
user_2830,173.6,91.8
user_2831,161.7,77.4
user_2832,155.4,98.6
user_2833,157.4,69.1
user_2834,151.6,103.1
user_2835,140.2,82.3
user_2836,156.9,78.5
user_2837,179.0,97.0
user_2838,141.4,90.0
user_2839,181.8,95.0
user_2840,139.7,99.9
user_2841,147.3,65.3
user_2842,172.3,101.4
user_2843,158.6,83.8
user_2844,159.0,107.6
user_2845,164.0,79.2
user_2846,164.8,78.2
user_2847,150.1,108.4
user_2848,154.6,76.6
user_2849,132.8,60.5
user_2850,165.0,64.8
user_2851,131.9,107.4
user_2852,155.4,90.3
user_2853,176.3,87.8
user_2854,147.3,73.6
user_2855,142.0,85.5
user_2856,139.3,97.2
user_2857,153.2,78.0
user_2858,137.5,81.5
user_2859,168.6,93.2
user_2860,146.7,103.3
user_2861,154.4,96.3
user_2862,148.4,91.0
user_2863,147.5,79.4
user_2864,144.8,65.9
user_2865,166.8,88.2
user_2866,136.6,71.7
user_2867,179.0,100.2
user_2868,144.6,79.6
user_2869,160.6,87.9
user_2870,146.5,101.0
user_2871,138.5,93.6
user_2872,153.6,100.7
user_2873,142.2,81.0
user_2874,152.0,78.9
user_2875,164.1,81.5
user_2876,156.6,75.5
user_2877,150.2,85.9
user_2878,164.4,98.6
user_2879,164.2,94.9
user_2880,146.8,83.7
user_2881,163.0,87.4
user_2882,166.0,93.7
user_2883,157.5,75.8
user_2884,160.9,105.2
user_2885,157.5,70.7
user_2886,131.9,77.0
user_2887,143.1,102.7
user_2888,148.7,85.5
user_2889,164.7,76.8
user_2890,164.6,95.6
user_2891,135.9,100.1
user_2892,164.6,71.3
user_2893,132.5,78.4
user_2894,142.7,72.5
user_2895,135.1,79.2
user_2896,154.3,84.0
user_2897,130.2,90.5
user_2898,151.7,94.9
user_2899,147.5,75.5
user_2900,166.8,70.2
user_2901,150.9,75.5
user_2902,149.8,79.2
user_2903,181.8,62.9
user_2904,144.0,78.3
user_2905,136.3,83.5
user_2906,150.8,78.2
user_2907,160.5,75.1
user_2908,150.3,83.9
user_2909,155.5,89.8
user_2910,131.3,64.2
user_2911,134.6,77.1
user_2912,139.8,94.1
user_2913,132.0,94.8
user_2914,155.8,77.0
user_2915,134.3,83.9
user_2916,170.3,105.8
user_2917,141.1,75.1
user_2918,132.5,108.8
user_2919,151.0,74.0
user_2920,142.0,89.1
user_2921,164.7,99.8
user_2922,148.4,98.5
user_2923,145.8,109.5
user_2924,171.5,88.1
user_2925,154.8,98.8
user_2926,168.9,108.1
user_2927,145.7,87.3
user_2928,162.7,84.7
user_2929,173.7,85.1
user_2930,184.4,91.3
user_2931,152.7,108.6
user_2932,172.3,82.0
user_2933,160.8,91.0
user_2934,142.3,77.9
user_2935,178.6,72.4
user_2936,134.4,81.0
user_2937,160.1,76.7
user_2938,145.0,100.1
user_2939,187.8,71.6
user_2940,167.7,96.2
user_2941,155.1,78.7
user_2942,156.6,109.4
user_2943,167.5,93.7
user_2944,144.2,88.9
user_2945,185.3,87.1
user_2946,138.1,62.1
user_2947,153.9,96.5
user_2948,165.5,89.0
user_2949,160.9,77.8
user_2950,147.4,92.6
user_2951,173.2,78.0
user_2952,145.3,87.7
user_2953,133.3,82.1
user_2954,154.3,66.2
user_2955,156.2,108.9
user_2956,188.4,94.7
user_2957,189.2,89.8
user_2958,149.4,76.7
user_2959,167.7,85.6
user_2960,144.9,95.5
user_2961,161.3,76.9
user_2962,168.4,91.4
user_2963,149.0,82.0
user_2964,144.2,102.0
user_2965,152.6,74.6
user_2966,135.9,73.7
user_2967,154.7,74.9
user_2968,146.0,84.9
user_2969,135.6,70.7
user_2970,150.8,65.4
user_2971,169.3,60.5
user_2972,141.9,96.9
user_2973,143.2,66.6
user_2974,161.4,94.8
user_2975,132.7,109.2
user_2976,157.4,68.8
user_2977,143.5,60.4
user_2978,172.7,71.6
user_2979,133.2,100.6
user_2980,181.5,80.1
user_2981,135.3,78.3
user_2982,142.9,71.9
user_2983,159.1,75.7
user_2984,165.7,73.9
user_2985,153.4,66.3
user_2986,134.5,98.1
user_2987,152.4,70.1
user_2988,170.4,93.2
user_2989,175.5,62.7
user_2990,154.0,93.8
user_2991,171.9,75.3
user_2992,148.6,60.3
user_2993,165.1,89.9
user_2994,172.7,61.4
user_2995,136.9,69.4
user_2996,151.5,86.3
user_2997,143.3,93.4
user_2998,165.5,102.6
user_2999,147.2,69.2
user_3000,150.8,103.3
user_3001,171.5,65.1
user_3002,169.7,76.7
user_3003,150.1,64.4
user_3004,146.4,89.7
user_3005,143.2,107.9
user_3006,150.5,97.3
user_3007,150.1,87.9
user_3008,145.2,74.1
user_3009,146.1,95.3
user_3010,153.1,84.5
user_3011,142.5,76.6
user_3012,138.4,109.9
user_3013,140.4,73.2
user_3014,151.1,82.9
user_3015,142.1,77.3
user_3016,138.7,96.9
user_3017,154.1,85.8
user_3018,137.8,85.8
user_3019,159.0,102.3
user_3020,146.1,100.3
user_3021,146.6,71.2
user_3022,168.6,85.2
user_3023,131.0,93.4
user_3024,158.6,61.7
user_3025,136.7,108.4
user_3026,168.4,90.7
user_3027,168.2,70.5
user_3028,140.7,97.1
user_3029,157.1,85.4
user_3030,178.0,88.2
user_3031,143.7,105.0
user_3032,147.5,74.0
user_3033,181.2,62.3
user_3034,168.5,67.6
user_3035,131.0,61.3
user_3036,156.7,108.7
user_3037,144.7,72.4
user_3038,155.1,69.1
user_3039,130.1,68.8
user_3040,172.8,98.6
user_3041,170.3,70.8
user_3042,146.6,81.3
user_3043,160.3,90.3
user_3044,159.3,103.4
user_3045,163.8,70.2
user_3046,160.3,89.4
user_3047,179.2,101.3
user_3048,186.2,87.3
user_3049,142.9,83.3
user_3050,189.9,60.7
user_3051,159.9,75.0
user_3052,174.8,65.6
user_3053,155.5,71.0
user_3054,159.6,106.1
user_3055,183.0,106.3
user_3056,133.3,92.0
user_3057,138.4,99.4
user_3058,152.3,96.1
user_3059,131.6,60.1
user_3060,143.7,83.9
user_3061,141.1,76.7
user_3062,177.3,89.6
user_3063,142.9,65.0
user_3064,170.9,71.6
user_3065,160.7,91.1
user_3066,132.8,106.3
user_3067,159.5,68.5
user_3068,139.2,83.5
user_3069,138.6,98.5
user_3070,158.8,101.3
user_3071,178.7,81.0
user_3072,154.6,82.0
user_3073,160.5,82.7
user_3074,157.3,63.3
user_3075,168.8,91.3
user_3076,169.9,69.1
user_3077,145.8,98.9
user_3078,134.2,81.2
user_3079,155.8,70.3
user_3080,160.9,75.2
user_3081,142.8,97.5
user_3082,135.8,80.7
user_3083,144.8,101.5
user_3084,144.4,71.0
user_3085,154.1,86.6
user_3086,131.0,84.0
user_3087,161.0,102.9
user_3088,146.5,100.6
user_3089,164.4,106.7
user_3090,153.4,93.7
user_3091,174.0,66.9
user_3092,164.2,96.9
user_3093,181.4,80.7
user_3094,138.9,88.4
user_3095,156.7,74.2
user_3096,147.0,101.1
user_3097,131.6,94.4
user_3098,157.8,80.7
user_3099,180.5,68.1
user_3100,149.5,86.5
user_3101,167.1,84.4
user_3102,152.7,71.7
user_3103,142.1,73.1
user_3104,150.6,85.7
user_3105,139.5,98.4
user_3106,135.0,95.9
user_3107,145.3,82.3
user_3108,139.7,103.9
user_3109,147.0,96.1
user_3110,168.2,96.4
user_3111,170.8,94.8
user_3112,178.5,94.5
user_3113,169.8,80.0
user_3114,148.7,63.9
user_3115,138.6,102.8
user_3116,132.1,95.3
user_3117,150.2,75.6
user_3118,140.2,88.8
user_3119,148.6,65.6
user_3120,158.1,100.4
user_3121,185.0,108.4
user_3122,157.7,63.9
user_3123,165.8,89.4
user_3124,157.7,73.4
user_3125,139.5,83.5
user_3126,148.7,109.7
user_3127,155.7,90.3
user_3128,174.1,67.0
user_3129,173.0,93.2
user_3130,144.7,106.9
user_3131,147.3,97.3
user_3132,150.2,69.3
user_3133,175.5,103.3
user_3134,152.9,105.1
user_3135,145.7,108.7
user_3136,130.6,64.1
user_3137,171.4,97.1
user_3138,157.0,65.9
user_3139,159.5,87.0
user_3140,166.2,73.8
user_3141,151.7,80.3
user_3142,146.0,94.4
user_3143,134.8,102.1
user_3144,161.0,88.9
user_3145,171.3,103.1
user_3146,145.3,80.7
user_3147,185.3,104.0
user_3148,183.3,104.0
user_3149,145.9,88.2
user_3150,149.8,79.9
user_3151,158.5,63.6
user_3152,162.6,105.1
user_3153,143.9,107.8
user_3154,170.5,74.5
user_3155,148.9,99.6
user_3156,179.1,93.0
user_3157,154.3,87.9
user_3158,187.5,72.5
user_3159,162.1,63.3
user_3160,155.6,90.4
user_3161,143.3,64.6
user_3162,180.6,78.1
user_3163,157.6,69.6
user_3164,163.7,69.6
user_3165,154.7,84.2
user_3166,181.0,76.6
user_3167,141.3,101.8
user_3168,143.2,90.9
user_3169,175.8,101.1
user_3170,136.3,87.6
user_3171,155.8,106.7
user_3172,154.6,102.7
user_3173,169.4,75.6
user_3174,151.4,62.2
user_3175,146.9,79.6
user_3176,147.7,99.4
user_3177,130.8,92.2
user_3178,174.7,86.3
user_3179,164.8,97.7
user_3180,134.0,85.7
user_3181,134.6,87.1
user_3182,144.9,107.2
user_3183,168.2,77.3
user_3184,135.9,73.8
user_3185,178.7,60.5
user_3186,173.0,93.5
user_3187,134.1,77.3
user_3188,133.3,93.6
user_3189,130.5,67.0
user_3190,161.8,77.1
user_3191,175.0,68.3
user_3192,138.4,61.4
user_3193,142.4,96.0
user_3194,132.0,86.8
user_3195,160.0,109.0
user_3196,145.5,86.9
user_3197,165.6,72.1
user_3198,136.5,62.9
user_3199,172.7,82.3
user_3200,142.7,69.3
user_3201,160.7,94.7
user_3202,140.5,74.9
user_3203,151.4,85.5
user_3204,178.4,64.4
user_3205,166.9,60.6
user_3206,189.8,75.0
user_3207,156.9,66.4
user_3208,130.9,69.7
user_3209,139.7,108.0
user_3210,161.1,85.2
user_3211,168.3,61.2
user_3212,146.1,72.3
user_3213,185.5,70.4
user_3214,131.7,87.9
user_3215,149.8,88.5
user_3216,163.8,75.5
user_3217,186.0,80.6
user_3218,143.6,70.6
user_3219,155.9,104.4
user_3220,167.2,104.4
user_3221,144.3,97.6
user_3222,150.1,105.0
user_3223,149.1,99.6
user_3224,176.9,79.9
user_3225,131.1,88.0
user_3226,161.8,80.3
user_3227,150.6,78.1
user_3228,171.5,67.4
user_3229,133.9,70.8
user_3230,171.9,96.5
user_3231,147.6,101.4
user_3232,163.6,66.8
user_3233,149.4,64.4
user_3234,150.3,105.2
user_3235,153.9,71.7
user_3236,130.6,63.0
user_3237,165.6,84.0
user_3238,130.8,93.9
user_3239,141.7,92.7
user_3240,152.0,88.1
user_3241,141.1,79.0
user_3242,153.0,81.7
user_3243,160.2,94.0
user_3244,153.7,101.0
user_3245,170.3,69.9
user_3246,150.8,62.2
user_3247,151.3,90.4
user_3248,181.5,91.5
user_3249,135.9,81.6
user_3250,166.8,107.4
user_3251,142.2,65.5
user_3252,144.2,60.8
user_3253,142.5,80.7
user_3254,158.6,85.4
user_3255,179.2,66.2
user_3256,142.2,106.5
user_3257,150.6,67.0
user_3258,139.3,105.9
user_3259,145.4,60.4
user_3260,160.6,105.4
user_3261,139.5,79.8
user_3262,160.5,64.9
user_3263,136.3,71.7
user_3264,159.7,71.8
user_3265,168.2,99.1
user_3266,141.9,66.9
user_3267,150.2,61.3
user_3268,153.4,72.6
user_3269,131.2,99.5
user_3270,165.7,96.3
user_3271,171.6,94.5
user_3272,156.6,83.2
user_3273,149.8,73.8
user_3274,145.3,84.3
user_3275,174.1,85.7
user_3276,150.2,84.4
user_3277,168.0,102.5
user_3278,143.3,89.1
user_3279,174.9,74.2
user_3280,150.7,72.3
user_3281,153.4,99.9
user_3282,140.7,87.7
user_3283,148.9,86.2
user_3284,136.8,70.1
user_3285,170.3,67.7
user_3286,139.3,91.0
user_3287,169.8,84.8
user_3288,160.7,101.7
user_3289,159.1,87.8
user_3290,144.4,91.5
user_3291,138.3,98.0
user_3292,143.8,99.0
user_3293,160.4,64.1
user_3294,141.3,66.0
user_3295,136.7,86.7
user_3296,136.8,99.7
user_3297,155.2,64.7
user_3298,141.2,81.8
user_3299,185.9,87.8
user_3300,185.8,87.8
