학교명,시도,학교세부유형,일반학급_학생수_계,교원수_총계_계
인성여자중학교,인천,일반중학교,289,25
인하대학교사범대학부속중학교,인천,일반중학교,749,46
인천중산중학교,인천,일반중학교,847,54
인천하늘중학교,인천,일반중학교,955,56
구산중학교,인천,일반중학교,883,55
인천상정중학교,인천,일반중학교,346,32
갈산중학교,인천,일반중학교,401,39
동암중학교,인천,일반중학교,295,34
부광중학교,인천,일반중학교,652,42
부원중학교,인천,일반중학교,846,60
부원여자중학교,인천,일반중학교,953,54
부일중학교,인천,일반중학교,489,40
부일여자중학교,인천,일반중학교,194,27
부평중학교,인천,일반중학교,286,34
부평서중학교,인천,일반중학교,269,32
부평서여자중학교,인천,일반중학교,344,40
부평여자중학교,인천,일반중학교,349,35
부흥중학교,인천,일반중학교,539,33
산곡중학교,인천,일반중학교,307,35
산곡남중학교,인천,일반중학교,851,51
산곡여자중학교,인천,일반중학교,844,63
청천중학교,인천,일반중학교,415,43
삼산중학교,인천,일반중학교,956,63
진산중학교,인천,일반중학교,899,57
부평동중학교,인천,일반중학교,303,32
간석여자중학교,인천,일반중학교,270,33
구월중학교,인천,일반중학교,1002,62
구월여자중학교,인천,일반중학교,740,52
남동중학교,인천,일반중학교,709,52
논곡중학교,인천,일반중학교,265,32
동인천중학교,인천,일반중학교,442,41
연성중학교,인천,일반중학교,755,51
만성중학교,인천,일반중학교,398,45
만수중학교,인천,일반중학교,175,31
인천사리울중학교,인천,일반중학교,749,49
인천신정중학교,인천,일반중학교,1261,68
만수북중학교,인천,일반중학교,524,43
인천예송중학교,인천,일반중학교,1030,54
인천미송중학교,인천,일반중학교,1217,77
만수여자중학교,인천,일반중학교,533,47
만월중학교,인천,일반중학교,987,65
상인천중학교,인천,일반중학교,526,39
상인천여자중학교,인천,일반중학교,507,42
선학중학교,인천,일반중학교,335,36
연수중학교,인천,일반중학교,420,39
연화중학교,인천,일반중학교,692,46
옥련중학교,인천,일반중학교,457,36
인송중학교,인천,일반중학교,574,40
인천여자중학교,인천,일반중학교,420,35
인천중학교,인천,일반중학교,282,30
청량중학교,인천,일반중학교,876,55
청학중학교,인천,일반중학교,281,27
인천고잔중학교,인천,일반중학교,789,49
함박중학교,인천,일반중학교,206,26
석정중학교,인천,일반중학교,526,38
능허대중학교,인천,일반중학교,995,60
신송중학교,인천,일반중학교,1215,69
박문중학교,인천,일반중학교,739,44
인천논현중학교,인천,일반중학교,996,62
인천성리중학교,인천,일반중학교,767,52
인천동방중학교,인천,일반중학교,984,62
인천정각중학교,인천,일반중학교,780,48
인천서창중학교,인천,일반중학교,776,47
인천해송중학교,인천,일반중학교,850,47
숭덕여자중학교,인천,일반중학교,366,26
인천현송중학교,인천,일반중학교,464,44
인천예일중학교,인천,일반중학교,213,29
인천청람중학교,인천,일반중학교,1007,63
가정여자중학교,인천,일반중학교,193,25
가좌중학교,인천,일반중학교,390,36
인천가좌여자중학교,인천,일반중학교,343,34
검단중학교,인천,일반중학교,889,54
검암중학교,인천,일반중학교,327,30
계산중학교,인천,일반중학교,492,40
계산여자중학교,인천,일반중학교,485,32
계양중학교,인천,일반중학교,507,33
인천당하중학교,인천,일반중학교,1063,64
동인천여자중학교,인천,일반중학교,331,28
명현중학교,인천,일반중학교,459,41
인천이음중학교,인천,일반중학교,931,57
인천청호중학교,인천,일반중학교,467,30
인천청라중학교,인천,일반중학교,1055,66
북인천여자중학교,인천,일반중학교,382,30
북인천중학교,인천,일반중학교,212,28
불로중학교,인천,일반중학교,709,55
백석중학교,인천,일반중학교,252,40
서곶중학교,인천,일반중학교,557,47
서운중학교,인천,일반중학교,721,48
신현중학교,인천,일반중학교,256,30
신현여자중학교,인천,일반중학교,323,29
인천안남중학교,인천,일반중학교,272,33
인천초은중학교,인천,일반중학교,932,61
임학중학교,인천,일반중학교,396,37
제물포중학교,인천,일반중학교,408,37
인천경연중학교,인천,일반중학교,357,31
인천효성중학교,인천,일반중학교,469,36
작전중학교,인천,일반중학교,356,38
간재울중학교,인천,일반중학교,1036,63
마전중학교,인천,일반중학교,1384,82
원당중학교,인천,일반중학교,796,62
인천동양중학교,인천,일반중학교,507,39
인천양촌중학교,인천,일반중학교,181,24
인천가현중학교,인천,일반중학교,860,51
인천석남중학교,인천,일반중학교,315,39
인천계수중학교,인천,일반중학교,926,60
인천해원중학교,인천,일반중학교,1013,61
인천루원중학교,인천,일반중학교,383,45
인천아라중학교,인천,일반중학교,781,58
강남중학교,인천,일반중학교,124,24
강서중학교,인천,일반중학교,24,14
강화중학교,인천,일반중학교,468,40
강화여자중학교,인천,일반중학교,497,40
교동중학교,인천,일반중학교,22,6
서도중학교,인천,일반중학교,2,2
심도중학교,인천,일반중학교,45,15
동광중학교,인천,일반중학교,61,13
승영중학교,인천,일반중학교,76,12
상무고등학교,광주,일반고등학교,663,69
성덕고등학교,광주,일반고등학교,964,74
설월여자고등학교,광주,일반고등학교,595,64
전남대학교사범대학부설고등학교,광주,일반고등학교,599,63
운남고등학교,광주,일반고등학교,836,74
풍암고등학교,광주,일반고등학교,741,75
첨단고등학교,광주,일반고등학교,990,74
광주여자고등학교,광주,일반고등학교,690,72
광주고등학교,광주,일반고등학교,611,57
광주제일고등학교,광주,일반고등학교,613,57
비아고등학교,광주,일반고등학교,774,55
전남고등학교,광주,일반고등학교,666,64
전남여자고등학교,광주,일반고등학교,590,64
동명고등학교,광주,일반고등학교,204,29
고려고등학교,광주,일반고등학교,616,50
광덕고등학교,광주,일반고등학교,756,64
보문고등학교,광주,일반고등학교,943,68
명진고등학교,광주,일반고등학교,196,35
광일고등학교,광주,일반고등학교,147,22
광주경신여자고등학교,광주,일반고등학교,649,58
광주대동고등학교,광주,일반고등학교,577,49
광주동성고등학교,광주,일반고등학교,588,54
광주동신고등학교,광주,일반고등학교,635,52
광주동신여자고등학교,광주,일반고등학교,733,61
광주서석고등학교,광주,일반고등학교,629,55
광주석산고등학교,광주,일반고등학교,630,55
광주수피아여자고등학교,광주,일반고등학교,653,67
광주숭일고등학교,광주,일반고등학교,804,71
광주인성고등학교,광주,일반고등학교,651,57
금호중앙여자고등학교,광주,일반고등학교,717,67
광주진흥고등학교,광주,일반고등학교,697,50
동아여자고등학교,광주,일반고등학교,628,61
국제고등학교,광주,일반고등학교,765,62
금호고등학교,광주,일반고등학교,674,56
대광여자고등학교,광주,일반고등학교,534,50
대성여자고등학교,광주,일반고등학교,668,64
문성고등학교,광주,일반고등학교,634,56
살레시오고등학교,광주,일반고등학교,728,59
살레시오여자고등학교,광주,일반고등학교,565,54
서강고등학교,광주,일반고등학교,898,72
송원고등학교,광주,일반고등학교,567,51
송원여자고등학교,광주,일반고등학교,546,54
숭덕고등학교,광주,일반고등학교,905,63
정광고등학교,광주,일반고등학교,1031,78
조선대학교부속고등학교,광주,일반고등학교,598,56
조선대학교여자고등학교,광주,일반고등학교,586,57
호남삼육고등학교,광주,일반고등학교,260,23
상일여자고등학교,광주,일반고등학교,503,64
문정여자고등학교,광주,일반고등학교,770,73
장덕고등학교,광주,일반고등학교,1047,85
수완고등학교,광주,일반고등학교,940,77
빛고을고등학교,광주,일반고등학교,787,64
전남대학교사범대학부설중학교,광주,일반중학교,262,35
신용중학교,광주,일반중학교,756,62
각화중학교,광주,일반중학교,264,28
일동중학교,광주,일반중학교,434,39
지산중학교,광주,일반중학교,608,50
일신중학교,광주,일반중학교,425,34
무등중학교,광주,일반중학교,394,39
광주북성중학교,광주,일반중학교,134,22
광주충장중학교,광주,일반중학교,203,33
운림중학교,광주,일반중학교,226,26
두암중학교,광주,일반중학교,244,33
문산중학교,광주,일반중학교,430,35
문화중학교,광주,일반중학교,203,28
문흥중학교,광주,일반중학교,372,34
신광중학교,광주,일반중학교,230,27
양산중학교,광주,일반중학교,507,48
용봉중학교,광주,일반중학교,331,33
우산중학교,광주,일반중학교,265,32
운암중학교,광주,일반중학교,505,45
일곡중학교,광주,일반중학교,475,41
광주경신중학교,광주,일반중학교,546,40
고려중학교,광주,일반중학교,446,35
광주동신여자중학교,광주,일반중학교,416,31
광주동신중학교,광주,일반중학교,468,36
광주숭일중학교,광주,일반중학교,581,43
금호중앙중학교,광주,일반중학교,659,46
살레시오중학교,광주,일반중학교,415,35
살레시오여자중학교,광주,일반중학교,187,29
서강중학교,광주,일반중학교,627,44
조선대학교부속중학교,광주,일반중학교,330,28
조선대학교여자중학교,광주,일반중학교,236,27
용두중학교,광주,일반중학교,708,55
상일중학교,광주,일반중학교,454,39
수완하나중학교,광주,일반중학교,928,64
고실중학교,광주,일반중학교,657,52
광산중학교,광주,일반중학교,246,31
평동중학교,광주,일반중학교,90,16
광주무진중학교,광주,일반중학교,322,37
광주서광중학교,광주,일반중학교,362,36
선운중학교,광주,일반중학교,556,46
광주중학교,광주,일반중학교,445,40
광주화정중학교,광주,일반중학교,619,50
광주효광중학교,광주,일반중학교,422,42
금당중학교,광주,일반중학교,442,40
금호중학교,광주,일반중학교,284,31
대촌중학교,광주,일반중학교,139,18
봉선중학교,광주,일반중학교,502,43
상무중학교,광주,일반중학교,246,34
송정중학교,광주,일반중학교,419,46
월계중학교,광주,일반중학교,689,50
운남중학교,광주,일반중학교,530,43
주월중학교,광주,일반중학교,515,42
전남중학교,광주,일반중학교,519,40
치평중학교,광주,일반중학교,315,29
월곡중학교,광주,일반중학교,446,42
대자중학교,광주,일반중학교,724,59
하남중학교,광주,일반중학교,504,51
광주동명중학교,광주,일반중학교,520,44
풍암중학교,광주,일반중학교,467,39
금구중학교,광주,일반중학교,541,46
천곡중학교,광주,일반중학교,413,38
첨단중학교,광주,일반중학교,292,28
송광중학교,광주,일반중학교,478,48
영천중학교,광주,일반중학교,467,38
신가중학교,광주,일반중학교,715,58
봉산중학교,광주,일반중학교,505,48
운리중학교,광주,일반중학교,588,51
신창중학교,광주,일반중학교,763,60
유덕중학교,광주,일반중학교,369,31
월봉중학교,광주,일반중학교,485,44
광덕중학교,광주,일반중학교,532,38
광주동성여자중학교,광주,일반중학교,512,39
광주동성중학교,광주,일반중학교,474,36
성덕중학교,광주,일반중학교,1031,71
광주서석중학교,광주,일반중학교,539,41
광주송원중학교,광주,일반중학교,591,46
광주수피아여자중학교,광주,일반중학교,386,40
대성여자중학교,광주,일반중학교,547,40
동아여자중학교,광주,일반중학교,489,38
문성중학교,광주,일반중학교,577,41
광주진흥중학교,광주,일반중학교,757,52
비아중학교,광주,일반중학교,0,0
숭의중학교,광주,일반중학교,542,44
임곡중학교,광주,일반중학교,38,9
정광중학교,광주,일반중학교,544,40
진남중학교,광주,일반중학교,332,34
수완중학교,광주,일반중학교,822,61
산정중학교,광주,일반중학교,740,56
장덕중학교,광주,일반중학교,1003,68
효천중학교,광주,일반중학교,625,51
대전반석고등학교,대전,일반고등학교,872,73
대덕고등학교,대전,일반고등학교,551,81
대전고등학교,대전,일반고등학교,913,87
대전관저고등학교,대전,일반고등학교,650,73
대전둔산여자고등학교,대전,일반고등학교,828,97
대전만년고등학교,대전,일반고등학교,732,71
대전송촌고등학교,대전,일반고등학교,919,90
대전여자고등학교,대전,일반고등학교,915,82
대전전민고등학교,대전,일반고등학교,628,76
대전예술고등학교,대전,일반고등학교,408,41
대전둔원고등학교,대전,일반고등학교,778,72
대전지족고등학교,대전,일반고등학교,921,72
대전구봉고등학교,대전,일반고등학교,689,69
대전노은고등학교,대전,일반고등학교,606,61
동대전고등학교,대전,일반고등학교,877,82
신탄진고등학교,대전,일반고등학교,438,66
유성고등학교,대전,일반고등학교,967,83
충남고등학교,대전,일반고등학교,868,86
충남여자고등학교,대전,일반고등학교,953,95
한밭고등학교,대전,일반고등학교,775,78
남대전고등학교,대전,일반고등학교,639,63
대전대성고등학교,대전,일반고등학교,1001,62
대전대신고등학교,대전,일반고등학교,1030,65
대전동산고등학교,대전,일반고등학교,721,74
대전제일고등학교,대전,일반고등학교,502,52
대전성모여자고등학교,대전,일반고등학교,533,56
대전괴정고등학교,대전,일반고등학교,792,72
대전용산고등학교,대전,일반고등학교,831,77
대전중앙고등학교,대전,일반고등학교,444,55
동방고등학교,대전,일반고등학교,745,67
명석고등학교,대전,일반고등학교,685,70
보문고등학교,대전,일반고등학교,572,76
우송고등학교,대전,일반고등학교,762,68
대전이문고등학교,대전,일반고등학교,458,52
서대전고등학교,대전,일반고등학교,588,64
서대전여자고등학교,대전,일반고등학교,373,51
서일고등학교,대전,일반고등학교,567,57
서일여자고등학교,대전,일반고등학교,473,51
대전한빛고등학교,대전,일반고등학교,563,52
유성여자고등학교,대전,일반고등학교,566,54
중일고등학교,대전,일반고등학교,662,52
청란여자고등학교,대전,일반고등학교,364,50
호수돈여자고등학교,대전,일반고등학교,588,70
대전가오고등학교,대전,일반고등학교,642,65
대전복수고등학교,대전,일반고등학교,619,61
대전도안고등학교,대전,일반고등학교,921,79
대전가양중학교,대전,일반중학교,566,45
대전가오중학교,대전,일반중학교,539,38
대전글꽃중학교,대전,일반중학교,932,69
대전대문중학교,대전,일반중학교,128,20
대전태평중학교,대전,일반중학교,455,43
대전대화중학교,대전,일반중학교,243,33
대전매봉중학교,대전,일반중학교,781,56
대전문화여자중학교,대전,일반중학교,174,26
대전법동중학교,대전,일반중학교,376,46
대전송촌중학교,대전,일반중학교,698,58
대전여자중학교,대전,일반중학교,534,42
오정중학교,대전,일반중학교,110,22
대전용운중학교,대전,일반중학교,385,36
대전용전중학교,대전,일반중학교,393,37
대전은어송중학교,대전,일반중학교,689,52
중리중학교,대전,일반중학교,158,26
대전중학교,대전,일반중학교,383,36
동대전중학교,대전,일반중학교,226,27
동신중학교,대전,일반중학교,107,27
신탄중앙중학교,대전,일반중학교,198,30
회덕중학교,대전,일반중학교,128,23
충남여자중학교,대전,일반중학교,1005,67
충남중학교,대전,일반중학교,760,58
한밭여자중학교,대전,일반중학교,362,30
한밭중학교,대전,일반중학교,77,26
대전대청중학교,대전,일반중학교,510,46
대전경덕중학교,대전,일반중학교,165,21
대전대성여자중학교,대전,일반중학교,193,24
대전대성중학교,대전,일반중학교,460,31
대전동산중학교,대전,일반중학교,336,38
우송중학교,대전,일반중학교,204,22
대전중앙중학교,대전,일반중학교,260,21
동명중학교,대전,일반중학교,74,13
보문중학교,대전,일반중학교,255,20
대전신일중학교,대전,일반중학교,278,27
신탄진중학교,대전,일반중학교,437,31
청란여자중학교,대전,일반중학교,41,12
호수돈여자중학교,대전,일반중학교,263,27
대전봉우중학교,대전,일반중학교,672,48
대전장대중학교,대전,일반중학교,238,29
가수원중학교,대전,일반중학교,158,23
갈마중학교,대전,일반중학교,62,21
대덕중학교,대전,일반중학교,529,41
대전갑천중학교,대전,일반중학교,772,59
대전관저중학교,대전,일반중학교,729,53
대전남선중학교,대전,일반중학교,170,25
대전내동중학교,대전,일반중학교,543,44
대전원신흥중학교,대전,일반중학교,786,56
대전도마중학교,대전,일반중학교,210,25
대전둔산중학교,대전,일반중학교,562,53
대전둔원중학교,대전,일반중학교,489,41
대전만년중학교,대전,일반중학교,281,32
대전문지중학교,대전,일반중학교,204,24
대전문정중학교,대전,일반중학교,1237,81
대전버드내중학교,대전,일반중학교,872,60
대전변동중학교,대전,일반중학교,295,31
대전봉산중학교,대전,일반중학교,181,25
대전삼천중학교,대전,일반중학교,941,71
대전서중학교,대전,일반중학교,139,23
대전송강중학교,대전,일반중학교,304,34
대전어은중학교,대전,일반중학교,452,37
대전느리울중학교,대전,일반중학교,648,46
대전월평중학교,대전,일반중학교,203,22
대전전민중학교,대전,일반중학교,600,44
대전탄방중학교,대전,일반중학교,1232,85
대전정림중학교,대전,일반중학교,179,23
기성중학교,대전,일반중학교,28,15
유성중학교,대전,일반중학교,906,67
진잠중학교,대전,일반중학교,251,31
대전지족중학교,대전,일반중학교,642,52
대전노은중학교,대전,일반중학교,847,60
대전외삼중학교,대전,일반중학교,821,64
대전대신중학교,대전,일반중학교,357,30
대전봉명중학교,대전,일반중학교,649,60
동방여자중학교,대전,일반중학교,303,26
대전괴정중학교,대전,일반중학교,570,45
대전구봉중학교,대전,일반중학교,679,50
대전신계중학교,대전,일반중학교,613,46
대전동화중학교,대전,일반중학교,623,46
대전하기중학교,대전,일반중학교,475,38
대전두리중학교,대전,일반중학교,540,42
대전자운중학교,대전,일반중학교,105,22
대전삼육중학교,대전,일반중학교,166,20
대전관평중학교,대전,일반중학교,641,47
성덕중학교,대전,일반중학교,341,27
대전덕명중학교,대전,일반중학교,396,38
대전도안중학교,대전,일반중학교,711,57
대전새미래중학교,대전,일반중학교,354,36
강동고등학교,울산,일반고등학교,264,30
문수고등학교,울산,일반고등학교,461,56
천상고등학교,울산,일반고등학교,963,67
남창고등학교,울산,일반고등학교,903,77
다운고등학교,울산,일반고등학교,398,46
남목고등학교,울산,일반고등학교,584,59
우신고등학교,울산,일반고등학교,432,46
범서고등학교,울산,일반고등학교,981,71
울산동천고등학교,울산,일반고등학교,755,69
달천고등학교,울산,일반고등학교,784,67
대송고등학교,울산,일반고등학교,679,63
무거고등학교,울산,일반고등학교,466,51
무룡고등학교,울산,일반고등학교,534,52
문현고등학교,울산,일반고등학교,547,54
방어진고등학교,울산,일반고등학교,559,51
신정고등학교,울산,일반고등학교,741,70
울산여자고등학교,울산,일반고등학교,766,68
온산고등학교,울산,일반고등학교,288,34
울산중앙고등학교,울산,일반고등학교,435,46
울산중앙여자고등학교,울산,일반고등학교,372,41
학성고등학교,울산,일반고등학교,749,71
학성여자고등학교,울산,일반고등학교,436,45
호계고등학교,울산,일반고등학교,990,78
화암고등학교,울산,일반고등학교,429,49
울산강남고등학교,울산,일반고등학교,596,52
약사고등학교,울산,일반고등학교,602,58
언양고등학교,울산,일반고등학교,490,48
효정고등학교,울산,일반고등학교,443,48
대현고등학교,울산,일반고등학교,605,56
함월고등학교,울산,일반고등학교,580,55
신선여자고등학교,울산,일반고등학교,634,57
삼산고등학교,울산,일반고등학교,623,61
삼일여자고등학교,울산,일반고등학교,0,50
울산예술고등학교,울산,일반고등학교,238,27
성광여자고등학교,울산,일반고등학교,470,49
성신고등학교,울산,일반고등학교,601,52
울산경의고등학교,울산,일반고등학교,466,40
울산고등학교,울산,일반고등학교,573,51
울산제일고등학교,울산,일반고등학교,391,46
화봉고등학교,울산,일반고등학교,596,58
현대고등학교,울산,일반고등학교,585,49
매곡고등학교,울산,일반고등학교,777,63
현대청운고등학교,울산,일반고등학교,530,54
고헌중학교,울산,일반중학교,907,73
강동중학교,울산,일반중학교,544,44
상안중학교,울산,일반중학교,529,43
남목중학교,울산,일반중학교,570,46
남외중학교,울산,일반중학교,663,61
농소중학교,울산,일반중학교,442,37
다운중학교,울산,일반중학교,192,25
달천중학교,울산,일반중학교,670,47
대송중학교,울산,일반중학교,403,36
매곡중학교,울산,일반중학교,1031,79
명덕여자중학교,울산,일반중학교,454,36
무룡중학교,울산,일반중학교,587,50
방어진중학교,울산,일반중학교,570,47
성안중학교,울산,일반중학교,702,55
연암중학교,울산,일반중학교,195,24
약사중학교,울산,일반중학교,392,39
외솔중학교,울산,일반중학교,561,45
가온중학교,울산,일반중학교,319,29
울산제일중학교,울산,일반중학교,505,45
유곡중학교,울산,일반중학교,663,51
이화중학교,울산,일반중학교,225,25
일산중학교,울산,일반중학교,483,41
천곡중학교,울산,일반중학교,628,58
학성여자중학교,울산,일반중학교,398,35
호계중학교,울산,일반중학교,1154,86
화봉중학교,울산,일반중학교,269,23
화암중학교,울산,일반중학교,629,50
화진중학교,울산,일반중학교,312,33
효정중학교,울산,일반중학교,487,43
진장중학교,울산,일반중학교,303,28
울산중학교,울산,일반중학교,519,45
현대청운중학교,울산,일반중학교,635,43
현대중학교,울산,일반중학교,683,45
구영중학교,울산,일반중학교,681,52
남창중학교,울산,일반중학교,898,75
대현중학교,울산,일반중학교,666,51
온산중학교,울산,일반중학교,463,41
동평중학교,울산,일반중학교,827,63
두광중학교,울산,일반중학교,35,14
무거중학교,울산,일반중학교,368,38
범서중학교,울산,일반중학교,731,57
삼호중학교,울산,일반중학교,121,22
서생중학교,울산,일반중학교,257,31
신일중학교,울산,일반중학교,324,31
신정중학교,울산,일반중학교,716,50
신언중학교,울산,일반중학교,510,40
언양중학교,울산,일반중학교,460,40
옥동중학교,울산,일반중학교,659,48
옥현중학교,울산,일반중학교,573,42
울산서여자중학교,울산,일반중학교,736,55
월평중학교,울산,일반중학교,228,29
울산중앙중학교,울산,일반중학교,786,60
웅촌중학교,울산,일반중학교,86,18
천상중학교,울산,일반중학교,868,67
청량중학교,울산,일반중학교,161,22
울산강남중학교,울산,일반중학교,502,33
태화중학교,울산,일반중학교,156,22
학성중학교,울산,일반중학교,741,49
문수중학교,울산,일반중학교,395,35
야음중학교,울산,일반중학교,675,55
상북중학교,울산,일반중학교,126,21
장검중학교,울산,일반중학교,513,42
삼남중학교,울산,일반중학교,149,21
부강중학교,세종,일반중학교,110,19
장기중학교,세종,일반중학교,49,12
금호중학교,세종,일반중학교,492,45
연동중학교,세종,일반중학교,22,11
연서중학교,세종,일반중학교,117,24
전의중학교,세종,일반중학교,99,18
세종중학교,세종,일반중학교,490,53
조치원중학교,세종,일반중학교,787,62
한솔중학교,세종,일반중학교,842,66
도담중학교,세종,일반중학교,757,63
어진중학교,세종,일반중학교,450,42
새롬중학교,세종,일반중학교,785,70
아름중학교,세종,일반중학교,1247,105
양지중학교,세종,일반중학교,823,70
두루중학교,세종,일반중학교,965,80
종촌중학교,세종,일반중학교,1027,85
고운중학교,세종,일반중학교,858,72
소담중학교,세종,일반중학교,553,49
글벗중학교,세종,일반중학교,381,41
보람중학교,세종,일반중학교,730,64
새뜸중학교,세종,일반중학교,679,53
새움중학교,세종,일반중학교,583,50
다정중학교,세종,일반중학교,803,69
반곡중학교,세종,일반중학교,464,44
해밀중학교,세종,일반중학교,432,44
나성중학교,세종,일반중학교,572,51
집현중학교,세종,일반중학교,291,30
도담고등학교,세종,일반고등학교,617,63
세종여자고등학교,세종,일반고등학교,500,64
세종고등학교,세종,일반고등학교,651,75
세종대성고등학교,세종,일반고등학교,611,51
한솔고등학교,세종,일반고등학교,601,60
아름고등학교,세종,일반고등학교,901,91
고운고등학교,세종,일반고등학교,730,76
두루고등학교,세종,일반고등학교,746,70
양지고등학교,세종,일반고등학교,741,69
종촌고등학교,세종,일반고등학교,884,86
보람고등학교,세종,일반고등학교,757,74
소담고등학교,세종,일반고등학교,748,72
새롬고등학교,세종,일반고등학교,908,78
반곡고등학교,세종,일반고등학교,490,55
다정고등학교,세종,일반고등학교,891,74
해밀고등학교,세종,일반고등학교,258,30
김포제일고등학교,경기,일반고등학교,1184,86
매홀고등학교,경기,일반고등학교,896,73
수원칠보고등학교,경기,일반고등학교,778,72
한빛고등학교,경기,일반고등학교,1192,94
초월고등학교,경기,일반고등학교,1129,89
한민고등학교,경기,일반고등학교,1060,88
별내고등학교,경기,일반고등학교,828,76
고양동산고등학교,경기,일반고등학교,575,58
위례고등학교,경기,일반고등학교,643,63
위례한빛고등학교,경기,일반고등학교,803,95
하길고등학교,경기,일반고등학교,948,71
가좌고등학교,경기,일반고등학교,825,79
가평고등학교,경기,일반고등학교,571,59
가운고등학교,경기,일반고등학교,917,77
덕현고등학교,경기,일반고등학교,972,80
동패고등학교,경기,일반고등학교,1202,85
마석고등학교,경기,일반고등학교,974,82
판교고등학교,경기,일반고등학교,546,63
성복고등학교,경기,일반고등학교,1094,85
운산고등학교,경기,일반고등학교,768,78
율천고등학교,경기,일반고등학교,417,49
경기대명고등학교,경기,일반고등학교,70,25
이현고등학교,경기,일반고등학교,757,67
저현고등학교,경기,일반고등학교,928,84
세교고등학교,경기,일반고등학교,893,74
계남고등학교,경기,일반고등학교,684,65
고색고등학교,경기,일반고등학교,706,73
고잔고등학교,경기,일반고등학교,872,89
교하고등학교,경기,일반고등학교,1041,74
이산고등학교,경기,일반고등학교,1217,84
과천고등학교,경기,일반고등학교,556,64
군서고등학교,경기,일반고등학교,985,77
과천중앙고등학교,경기,일반고등학교,515,58
관양고등학교,경기,일반고등학교,928,83
관인고등학교,경기,일반고등학교,89,20
고양일고등학교,경기,일반고등학교,521,58
광남고등학교,경기,일반고등학교,919,78
광명고등학교,경기,일반고등학교,873,80
광명북고등학교,경기,일반고등학교,838,89
명문고등학교,경기,일반고등학교,847,81
광문고등학교,경기,일반고등학교,850,79
광주고등학교,경기,일반고등학교,938,78
구리고등학교,경기,일반고등학교,627,54
구리여자고등학교,경기,일반고등학교,558,57
구성고등학교,경기,일반고등학교,930,78
금촌고등학교,경기,일반고등학교,960,90
광교고등학교,경기,일반고등학교,812,74
권선고등학교,경기,일반고등학교,965,92
기흥고등학교,경기,일반고등학교,973,74
김포고등학교,경기,일반고등학교,1056,73
나루고등학교,경기,일반고등학교,786,56
남한고등학교,경기,일반고등학교,718,66
늘푸른고등학교,경기,일반고등학교,725,62
능곡고등학교,경기,일반고등학교,735,77
단원고등학교,경기,일반고등학교,663,75
대지고등학교,경기,일반고등학교,939,74
대평고등학교,경기,일반고등학교,778,73
덕계고등학교,경기,일반고등학교,679,58
덕산고등학교,경기,일반고등학교,575,59
망포고등학교,경기,일반고등학교,783,72
매원고등학교,경기,일반고등학교,847,81
덕정고등학교,경기,일반고등학교,757,64
도농고등학교,경기,일반고등학교,854,70
도당고등학교,경기,일반고등학교,661,68
동백고등학교,경기,일반고등학교,926,74
돌마고등학교,경기,일반고등학교,676,69
동안고등학교,경기,일반고등학교,1019,95
동탄고등학교,경기,일반고등학교,1074,78
매탄고등학교,경기,일반고등학교,977,90
무원고등학교,경기,일반고등학교,756,82
문산고등학교,경기,일반고등학교,342,37
반송고등학교,경기,일반고등학교,1009,71
범박고등학교,경기,일반고등학교,703,68
백마고등학교,경기,일반고등학교,840,79
백석고등학교,경기,일반고등학교,830,81
보라고등학교,경기,일반고등학교,831,68
백신고등학교,경기,일반고등학교,820,78
백양고등학교,경기,일반고등학교,774,82
마장고등학교,경기,일반고등학교,196,30
백운고등학교,경기,일반고등학교,806,79
병점고등학교,경기,일반고등학교,969,74
보정고등학교,경기,일반고등학교,1054,81
봉일천고등학교,경기,일반고등학교,773,70
부명고등학교,경기,일반고등학교,713,70
봉담고등학교,경기,일반고등학교,855,60
양주고등학교,경기,일반고등학교,660,58
상동고등학교,경기,일반고등학교,698,66
부천고등학교,경기,일반고등학교,656,65
부천북고등학교,경기,일반고등학교,690,69
부천여자고등학교,경기,일반고등학교,503,58
부흥고등학교,경기,일반고등학교,1002,98
분당고등학교,경기,일반고등학교,789,79
분당중앙고등학교,경기,일반고등학교,704,67
불곡고등학교,경기,일반고등학교,723,66
사우고등학교,경기,일반고등학교,1150,83
상원고등학교,경기,일반고등학교,685,65
산본고등학교,경기,일반고등학교,1070,94
상일고등학교,경기,일반고등학교,606,61
서원고등학교,경기,일반고등학교,1116,81
고촌고등학교,경기,일반고등학교,969,71
새솔고등학교,경기,일반고등학교,508,55
서연고등학교,경기,일반고등학교,1120,85
남양주다산고등학교,경기,일반고등학교,882,80
목감고등학교,경기,일반고등학교,581,65
역곡고등학교,경기,일반고등학교,455,46
운양고등학교,경기,일반고등학교,1071,84
서현고등학교,경기,일반고등학교,815,73
서해고등학교,경기,일반고등학교,1094,79
선부고등학교,경기,일반고등학교,683,79
설악고등학교,경기,일반고등학교,161,21
소래고등학교,경기,일반고등학교,953,85
성남고등학교,경기,일반고등학교,519,67
성사고등학교,경기,일반고등학교,701,78
성지고등학교,경기,일반고등학교,1065,78
성남여자고등학교,경기,일반고등학교,589,70
성안고등학교,경기,일반고등학교,874,84
성호고등학교,경기,일반고등학교,902,72
송내고등학교,경기,일반고등학교,676,65
소사고등학교,경기,일반고등학교,694,67
소하고등학교,경기,일반고등학교,858,83
수내고등학교,경기,일반고등학교,716,72
수리고등학교,경기,일반고등학교,1130,94
